422	11
98	2
203	4
436	17
516	10
270	7
352	9
442	16
153	18
55	3
306	7
437	17
136	14
380	19
211	12
337	16
124	17
398	18
252	6
373	3
436	10
17	3
531	10
374	2
222	6
271	1
533	15
379	13
291	2
266	4
489	15
485	5
260	2
251	5
452	19
283	13
45	13
28	5
282	16
99	7
41	7
52	11
58	4
59	16
263	14
339	9
440	11
118	15
462	18
504	13
518	13
366	12
195	16
369	3
399	13
126	14
525	14
407	4
57	11
422	10
50	19
339	13
135	7
431	2
246	2
175	10
327	5
304	18
389	7
512	14
81	15
435	14
399	13
204	16
426	14
473	14
172	2
172	13
357	11
508	8
527	3
468	1
16	18
422	18
232	9
477	16
186	17
167	7
444	11
297	11
240	14
361	19
427	7
399	5
441	3
220	7
477	13
256	13
504	16
243	13
