471	15
100	11
324	1
97	17
416	18
498	16
88	6
130	5
455	19
485	19
432	8
55	5
340	3
251	14
178	18
51	14
315	13
130	18
437	7
21	8
255	5
275	15
82	11
470	7
536	6
219	3
342	2
370	11
136	18
7	13
511	12
62	9
319	16
27	14
213	16
59	14
72	7
115	18
473	13
23	3
440	5
340	9
510	17
347	8
118	9
86	15
287	6
118	12
254	13
421	4
248	2
385	7
127	12
140	10
425	8
105	14
423	12
378	3
283	11
355	7
467	15
344	7
330	13
392	5
142	3
335	14
354	18
441	8
17	3
482	4
2	3
403	17
81	9
127	6
263	7
40	11
533	1
150	14
141	3
424	17
443	4
218	16
425	15
366	16
228	8
303	9
40	16
494	5
320	14
39	5
496	7
278	16
531	15
325	5
212	6
351	8
322	18
359	3
79	2
157	8
